[2025-08-20T09:35:57.556+0530][gc,metaspace] GC(14) Metaspace: 77729K(78592K)->77729K(78592K) NonClass: 68513K(68992K)->68513K(68992K) Class: 9215K(9600K)->9215K(9600K)
[2025-08-20T09:35:57.556+0530][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 2689M->1152M(6144M) 71.384ms
[2025-08-20T09:35:57.556+0530][gc,cpu      ] GC(14) User=0.72s Sys=0.00s Real=0.07s
[2025-08-20T09:36:03.073+0530][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:36:03.074+0530][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[2025-08-20T09:36:03.147+0530][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:36:03.147+0530][gc,phases   ] GC(15)   Merge Heap Roots: 0.1ms
[2025-08-20T09:36:03.147+0530][gc,phases   ] GC(15)   Evacuate Collection Set: 63.3ms
[2025-08-20T09:36:03.147+0530][gc,phases   ] GC(15)   Post Evacuate Collection Set: 10.1ms
[2025-08-20T09:36:03.147+0530][gc,phases   ] GC(15)   Other: 0.1ms
[2025-08-20T09:36:03.147+0530][gc,heap     ] GC(15) Eden regions: 54->0(54)
[2025-08-20T09:36:03.147+0530][gc,heap     ] GC(15) Survivor regions: 5->6(8)
[2025-08-20T09:36:03.147+0530][gc,heap     ] GC(15) Old regions: 21->21
[2025-08-20T09:36:03.147+0530][gc,heap     ] GC(15) Humongous regions: 11->11
[2025-08-20T09:36:03.147+0530][gc,metaspace] GC(15) Metaspace: 77756K(78592K)->77756K(78592K) NonClass: 68533K(68992K)->68533K(68992K) Class: 9222K(9600K)->9222K(9600K)
[2025-08-20T09:36:03.147+0530][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 2880M->1177M(6144M) 74.682ms
[2025-08-20T09:36:03.147+0530][gc,cpu      ] GC(15) User=0.59s Sys=0.00s Real=0.07s
[2025-08-20T09:36:08.571+0530][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:36:08.571+0530][gc,task     ] GC(16) Using 10 workers of 10 for evacuation
[2025-08-20T09:36:08.650+0530][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:36:08.650+0530][gc,phases   ] GC(16)   Merge Heap Roots: 0.1ms
[2025-08-20T09:36:08.650+0530][gc,phases   ] GC(16)   Evacuate Collection Set: 66.7ms
[2025-08-20T09:36:08.650+0530][gc,phases   ] GC(16)   Post Evacuate Collection Set: 11.4ms
[2025-08-20T09:36:08.650+0530][gc,phases   ] GC(16)   Other: 0.2ms
[2025-08-20T09:36:08.650+0530][gc,heap     ] GC(16) Eden regions: 60->0(68)
